Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,target
127,6.2,2.8,4.8,1.8,
24,5.1,3.3,1.7,0.5,
65,5.6,2.9,3.6,1.3,
118,7.7,3.8,6.7,2.2,
85,5.4,3.0,4.5,1.5,
15,5.8,4.0,1.2,0.2,
133,6.4,2.8,5.6,2.2,
92,6.1,3.0,4.6,1.4,
54,5.5,2.3,4.0,1.3,
142,6.9,3.1,5.1,2.3,
79,6.0,2.9,4.5,1.5,
98,6.2,2.9,4.3,1.3,
144,6.8,3.2,5.9,2.3,
94,5.0,2.3,3.3,1.0,
12,4.8,3.4,1.6,0.2,
135,6.1,2.6,5.6,1.4,
29,5.2,3.4,1.4,0.2,
66,6.7,3.1,4.4,1.4,
1,5.1,3.5,1.4,0.2,
28,5.2,3.5,1.5,0.2,
37,5.5,3.5,1.3,0.2,
107,4.9,2.5,4.5,1.7,
149,6.2,3.4,5.4,2.3,
132,7.9,3.8,6.4,2.0,
21,5.4,3.4,1.7,0.2,
141,6.7,3.1,5.6,2.4,
137,6.3,3.4,5.6,2.4,
106,7.6,3.0,6.6,2.1,
120,6.0,2.2,5.0,1.5,
14,4.3,3.0,1.1,0.1,
31,4.8,3.1,1.6,0.2,
102,5.8,2.7,5.1,1.9,
100,5.7,2.8,4.1,1.3,
60,5.2,2.7,3.9,1.4,
136,7.7,3.0,6.1,2.3,
124,6.3,2.7,4.9,1.8,
72,6.1,2.8,4.0,1.3,
22,5.1,3.7,1.5,0.4,
56,5.7,2.8,4.5,1.3,
17,5.4,3.9,1.3,0.4,
115,5.8,2.8,5.1,2.4,
93,5.8,2.6,4.0,1.2,
99,5.1,2.5,3.0,1.1,
19,5.7,3.8,1.7,0.3,
82,5.5,2.4,3.7,1.0,
62,5.9,3.0,4.2,1.5,
87,6.7,3.1,4.7,1.5,
123,7.7,2.8,6.7,2.0,
2,4.9,3.0,1.4,0.2,
57,6.3,3.3,4.7,1.6,
20,5.1,3.8,1.5,0.3,
83,5.8,2.7,3.9,1.2,
121,6.9,3.2,5.7,2.3,
10,4.9,3.1,1.5,0.1,
61,5.0,2.0,3.5,1.0,
35,4.9,3.1,1.5,0.1,
41,5.0,3.5,1.3,0.3,
11,5.4,3.7,1.5,0.2,
113,6.8,3.0,5.5,2.1,
101,6.3,3.3,6.0,2.5,
27,5.0,3.4,1.6,0.4,
33,5.2,4.1,1.5,0.1,
147,6.3,2.5,5.0,1.9,
119,7.7,2.6,6.9,2.3,
63,6.0,2.2,4.0,1.0,
110,7.2,3.6,6.1,2.5,
58,4.9,2.4,3.3,1.0,
74,6.1,2.8,4.7,1.2,
148,6.5,3.0,5.2,2.0,
18,5.1,3.5,1.4,0.3,
131,7.4,2.8,6.1,1.9,
150,5.9,3.0,5.1,1.8,
112,6.4,2.7,5.3,1.9,
9,4.4,2.9,1.4,0.2,
122,5.6,2.8,4.9,2.0,
40,5.1,3.4,1.5,0.2,
50,5.0,3.3,1.4,0.2,
80,5.7,2.6,3.5,1.0,
140,6.9,3.1,5.4,2.1,
91,5.5,2.6,4.4,1.2,
134,6.3,2.8,5.1,1.5,
51,7.0,3.2,4.7,1.4,
77,6.8,2.8,4.8,1.4,
111,6.5,3.2,5.1,2.0,
53,6.9,3.1,4.9,1.5,
81,5.5,2.4,3.8,1.1,
67,5.6,3.0,4.5,1.5,
139,6.0,3.0,4.8,1.8,
84,6.0,2.7,5.1,1.6,
143,5.8,2.7,5.1,1.9,
71,5.9,3.2,4.8,1.8,
47,5.1,3.8,1.6,0.2,
69,6.2,2.2,4.5,1.5,
89,5.6,3.0,4.1,1.3,
70,5.6,2.5,3.9,1.1,
68,5.8,2.7,4.1,1.0,
138,6.4,3.1,5.5,1.8,
59,6.6,2.9,4.6,1.3,
34,5.5,4.2,1.4,0.2,
39,4.4,3.0,1.3,0.2,
104,6.3,2.9,5.6,1.8,
52,6.4,3.2,4.5,1.5,
108,7.3,2.9,6.3,1.8,
5,5.0,3.6,1.4,0.2,
103,7.1,3.0,5.9,2.1,
38,4.9,3.1,1.5,0.1,
117,6.5,3.0,5.5,1.8,
125,6.7,3.3,5.7,2.1,
32,5.4,3.4,1.5,0.4,
64,6.1,2.9,4.7,1.4,
48,4.6,3.2,1.4,0.2,
146,6.7,3.0,5.2,2.3,
96,5.7,3.0,4.2,1.2,
8,5.0,3.4,1.5,0.2,
105,6.5,3.0,5.8,2.2,
76,6.6,3.0,4.4,1.4,
44,5.0,3.5,1.6,0.6,
23,4.6,3.6,1.0,0.2,
73,6.3,2.5,4.9,1.5,
16,5.7,4.4,1.5,0.4,
